Yr,Winner,Loser
2003,Detroit Pistons (1),Philadelphia 76ers (4)
2003,New Jersey Nets (2),Boston Celtics (6)
2003,Dallas Mavericks (3),Sacramento Kings (2)
2003,San Antonio Spurs (1),Los Angeles Lakers (5)
2003,New Jersey Nets (2),Detroit Pistons (1)
2003,San Antonio Spurs (1),Dallas Mavericks (3)
2003,San Antonio Spurs (1),New Jersey Nets (2)
2002,Boston Celtics (3),Philadelphia 76ers (6)
2002,Charlotte Hornets (4),Orlando Magic (5)
2002,Detroit Pistons (2),Toronto Raptors (7)
2002,New Jersey Nets (1),Indiana Pacers (8)
2002,Dallas Mavericks (4),Minnesota Timberwolves (5)
2002,Los Angeles Lakers (3),Portland Trail Blazers (6)
2002,Sacramento Kings (1),Utah Jazz (8)
2002,San Antonio Spurs (2),Seattle SuperSonics (7)
2002,Boston Celtics (3),Detroit Pistons (2)
2002,New Jersey Nets (1),Charlotte Hornets (4)
2002,Los Angeles Lakers (3),San Antonio Spurs (2)
2002,Sacramento Kings (1),Dallas Mavericks (4)
2002,New Jersey Nets (1),Boston Celtics (3)
2002,Los Angeles Lakers (3),Sacramento Kings (1)
2002,Los Angeles Lakers (3),New Jersey Nets (1)
2001,Charlotte Hornets (6),Miami Heat (3)
2001,Milwaukee Bucks (2),Orlando Magic (7)
2001,Philadelphia 76ers (1),Indiana Pacers (8)
2001,Toronto Raptors (5),New York Knicks (4)
2001,Dallas Mavericks (5),Utah Jazz (4)
2001,Los Angeles Lakers (2),Portland Trail Blazers (7)
2001,Sacramento Kings (3),Phoenix Suns (6)
2001,San Antonio Spurs (1),Minnesota Timberwolves (8)
2001,Milwaukee Bucks (2),Charlotte Hornets (6)
2001,Philadelphia 76ers (1),Toronto Raptors (5)
2001,Los Angeles Lakers (2),Sacramento Kings (3)
2001,San Antonio Spurs (1),Dallas Mavericks (5)
2001,Philadelphia 76ers (1),Milwaukee Bucks (2)
2001,Los Angeles Lakers (2),San Antonio Spurs (1)
2001,Los Angeles Lakers (2),Philadelphia 76ers (1)
2000,Indiana Pacers (1),Milwaukee Bucks (8)
2000,Miami Heat (2),Detroit Pistons (7)
2000,New York Knicks (3),Toronto Raptors (6)
2000,Philadelphia 76ers (5),Charlotte Hornets (4)
2000,Los Angeles Lakers (1),Sacramento Kings (8)
2000,Phoenix Suns (5),San Antonio Spurs (4)
2000,Portland Trail Blazers (3),Minnesota Timberwolves (6)
2000,Utah Jazz (2),Seattle SuperSonics (7)
2000,Indiana Pacers (1),Philadelphia 76ers (5)
2000,New York Knicks (3),Miami Heat (2)
2000,Los Angeles Lakers (1),Phoenix Suns (5)
2000,Portland Trail Blazers (3),Utah Jazz (2)
2000,Indiana Pacers (1),New York Knicks (3)
2000,Los Angeles Lakers (1),Portland Trail Blazers (3)
2000,Los Angeles Lakers (1),Indiana Pacers (1)
1999,Atlanta Hawks (4),Detroit Pistons (5)
1999,Indiana Pacers (2),Milwaukee Bucks (7)
1999,New York Knicks (8),Miami Heat (1)
1999,Philadelphia 76ers (6),Orlando Magic (3)
1999,Los Angeles Lakers (4),Houston Rockets (5)
1999,Portland Trail Blazers (2),Phoenix Suns (7)
1999,San Antonio Spurs (1),Minnesota Timberwolves (8)
1999,Utah Jazz (3),Sacramento Kings (6)
1999,Indiana Pacers (2),Philadelphia 76ers (6)
1999,New York Knicks (8),Atlanta Hawks (4)
